date,year,month,day_of_year,system:time_start,system_index,scene_cloud_percent,GCC,NDVI,NDVI_RAW_ORIGINAL,NDVI_WINDOW_DAYS,NDTI,NDPI,FAI,NDCI,KINNERET_2B,KINNERET_3B
2022-08-03,2022,8,215,1.65951547013E12,20220803T081611_20220803T082054_T36SYB,0.08418,0.3831101997592506,-0.406947985686948,-0.5468733542005003,61,-0.041897050882923906,-0.5691772943014027,-0.018190896515527556,0.11187547367422171,1.260420305803878,0.0794940756004606
2022-08-08,2022,8,220,1.659947463535E12,20220808T081609_20220808T082255_T36SYB,4.625794,0.35950381094663697,-0.365462720659088,-0.24794136831309949,61,-0.03440964641659812,-0.4425265068631069,-0.011614208580561568,0.08389518353724924,1.1853402577093612,0.1004981545738505
2022-08-13,2022,8,225,1.660379471755E12,20220813T081621_20220813T082303_T36SYB,4.924897,0.3794767528538769,-0.352544729249657,-0.42979448281665555,61,-0.008527311901644628,-0.6574616999996133,-0.016922818386959977,0.1069175048249427,1.2499700857382026,0.0882834095680489
2022-08-18,2022,8,230,1.660811461558E12,20220818T081609_20220818T082253_T36SYB,0.047389,0.3565279534268135,-0.354136622385137,-0.29011841628556684,61,0.022007629862317586,-0.38758768804370236,-0.014922081076032134,0.07414117773153485,1.1639189250378563,0.07603599342333296
2022-08-23,2022,8,235,1.661243472141E12,20220823T081621_20220823T082300_T36SYB,27.737731,0.3620434143090962,-0.347899465781552,-0.15970240713890685,61,-0.02786967727265697,-0.4223020493993853,-0.008982398862527765,0.0722982390242916,1.1583223366639417,0.10277646820140791
2022-08-28,2022,8,240,1.661675459877E12,20220828T081609_20220828T082251_T36SYB,0.0121,0.3573463089574839,-0.320684388762525,-0.19176056258712124,61,0.012775784205973712,-0.31923670365362244,-0.010403500069683522,0.08769478034436708,1.1958271223570671,0.10847643375741825
2022-09-02,2022,9,245,1.662107471585E12,20220902T081621_20220902T082303_T36SYB,8.131997,0.36865563088185127,-0.291932619423303,-0.2043643962108129,61,0.01892841544169404,-0.12715583139663933,-0.015942941860223755,0.06574624222060084,1.141645948208473,0.08105497318755028
2022-09-07,2022,9,250,1.662539461278E12,20220907T081609_20220907T082103_T36SYB,26.985624,0.3505687154660028,-0.267938064340789,-0.20501536382322252,61,-0.006116937946597734,-0.4927908886234,-0.011761880380086522,0.063509172631631,1.1361538438004117,0.08606348585295964
2022-09-12,2022,9,255,1.662971469832E12,20220912T081611_20220912T082301_T36SYB,0.80016,0.3786267958105289,-0.248227820653042,-0.42470395934731325,61,0.010669463197067896,-0.6742180077420203,-0.02002114577495485,0.07920280137491674,1.1739602767722181,0.06810601902108294
2022-09-17,2022,9,260,1.663403461252E12,20220917T081609_20220917T082910_T36SYB,7.4E-4,0.35663480776795375,-0.218854133056229,-0.42944346919987253,61,0.04279637171858225,-0.5564696109859147,-0.020681563401623193,0.062285445942557346,1.1336362072701651,0.050890859047954845
